player,age,position,league,minutes,goals,assists,starts,market_value_m
Stanislav Lobotka,31,미드필더,세리에 A,2850,1,4,32,28
Dusan Vlahovic,26,공격수,세리에 A,2500,18,4,29,65
Kenan Yildiz,21,공격수,세리에 A,1900,7,6,22,45
Federico Chiesa,28,공격수,세리에 A,1800,8,5,21,35
Gleison Bremer,29,수비수,세리에 A,2800,3,1,32,55
Paulo Dybala,32,공격수,세리에 A,2100,13,8,24,18
Romelu Lukaku,33,공격수,세리에 A,2500,15,4,29,20
Matias Soule,23,공격수,세리에 A,2200,9,7,25,35
Teun Koopmeiners,28,미드필더,세리에 A,2800,10,7,32,55
Ademola Lookman,28,공격수,세리에 A,2300,13,6,27,40
Harry Kane,32,공격수,분데스리가,3000,30,9,34,85
Jamal Musiala,23,미드필더,분데스리가,2400,11,8,28,120
Michael Olise,24,공격수,분데스리가,2300,12,10,27,75
Leroy Sane,30,공격수,분데스리가,2200,10,8,25,55
Joshua Kimmich,31,미드필더,분데스리가,2950,4,9,34,50
Kim Min-jae,29,수비수,분데스리가,2500,1,2,28,55
Dayot Upamecano,27,수비수,분데스리가,2400,1,1,27,50
Manuel Neuer,40,골키퍼,분데스리가,2700,0,0,30,5
Florian Wirtz,22,미드필더,분데스리가,2600,12,13,30,130
Granit Xhaka,33,미드필더,분데스리가,3100,4,8,35,18
Victor Boniface,25,공격수,분데스리가,2100,16,7,24,45
Jeremie Frimpong,25,수비수,분데스리가,2600,9,8,30,55
Jonathan Tah,30,수비수,분데스리가,3000,4,1,34,35
Gregor Kobel,28,골키퍼,분데스리가,3060,0,0,34,40
Julian Brandt,30,미드필더,분데스리가,2600,8,10,30,38
Karim Adeyemi,24,공격수,분데스리가,1900,8,7,22,45
Serhou Guirassy,30,공격수,분데스리가,2600,24,5,30,45
Benjamin Sesko,23,공격수,분데스리가,2200,17,5,25,70
Xavi Simons,23,미드필더,분데스리가,2500,9,11,29,80
Lois Openda,26,공격수,분데스리가,2600,21,6,30,60
Dani Olmo,28,미드필더,분데스리가,1800,7,8,21,55
Omar Marmoush,27,공격수,분데스리가,2500,19,8,29,60
Hugo Ekitike,24,공격수,분데스리가,2200,13,5,25,40
Ousmane Dembele,29,공격수,리그 1,2600,16,12,30,90
Bradley Barcola,23,공격수,리그 1,2400,13,9,28,70
Vitinha,26,미드필더,리그 1,2850,7,8,32,65
Joao Neves,21,미드필더,리그 1,2500,4,7,29,60
Warren Zaire-Emery,20,미드필더,리그 1,2300,4,5,26,60
Achraf Hakimi,27,수비수,리그 1,2650,5,8,30,65
Nuno Mendes,24,수비수,리그 1,2300,3,6,26,55
Marquinhos,32,수비수,리그 1,2800,2,1,32,28
Gianluigi Donnarumma,27,골키퍼,리그 1,3150,0,0,35,45
Lee Kang-in,25,미드필더,리그 1,1800,5,6,20,25
Jonathan David,26,공격수,리그 1,2850,24,6,32,55
Edon Zhegrova,27,공격수,리그 1,2300,8,9,27,30
Leny Yoro,20,수비수,리그 1,2300,2,1,26,55
Alexandre Lacazette,35,공격수,리그 1,2600,18,4,30,8
Rayan Cherki,22,미드필더,리그 1,2200,9,10,25,35
Pierre-Emerick Aubameyang,37,공격수,리그 1,2500,17,7,29,5
Mason Greenwood,24,공격수,리그 1,2600,16,5,30,40
Elye Wahi,23,공격수,리그 1,2100,10,4,24,30
Takumi Minamino,31,미드필더,리그 1,2300,9,6,27,18
Aleksandr Golovin,30,미드필더,리그 1,2400,8,7,28,22
